Date,Price
12/31/2024,4572.00
12/30/2024,4532.00
12/27/2024,4629.00
12/26/2024,4584.00
12/24/2024,4.59
12/23/2024,4588.00
12/20/2024,4529.00
12/19/2024,4565.00
12/18/2024,4518.00
12/17/2024,4394.00
12/16/2024,4402.00
12/13/2024,4394.00
12/12/2024,4335.00
12/11/2024,4274.00
12/10/2024,4227.00
12/9/2024,4.20
12/6/2024,4148.00
12/5/2024,4177.00
12/4/2024,4183.00
12/3/2024,4226.00
12/2/2024,4195.00
11/29/2024,4177.00
11/27/2024,4.26
11/26/2024,4294.00
11/25/2024,4274.00
11/22/2024,4411.00
11/21/2024,4419.00
11/20/2024,4413.00
11/19/2024,4395.00
11/18/2024,4413.00
11/15/2024,4444.00
11/14/2024,4445.00
11/13/2024,4.45
11/12/2024,4429.00
11/8/2024,4305.00
11/7/2024,4325.00
11/6/2024,4431.00
11/5/2024,4.28
11/4/2024,4286.00
11/1/2024,4385.00
10/31/2024,4281.00
10/30/2024,4299.00
10/29/2024,4274.00
10/28/2024,4278.00
10/25/2024,4232.00
10/24/2024,4202.00
10/23/2024,4242.00
10/22/2024,4206.00
10/21/2024,4182.00
10/18/2024,4075.00
10/17/2024,4096.00
10/16/2024,4016.00
10/15/2024,4038.00
10/11/2024,4073.00
10/10/2024,4094.00
10/9/2024,4067.00
10/8/2024,4035.00
10/7/2024,4026.00
10/4/2024,3981.00
10/3/2024,3846.00
10/2/2024,3783.00
10/1/2024,3731.00
9/30/2024,3787.00
9/27/2024,3751.00
9/26/2024,3796.00
9/25/2024,3791.00
9/24/2024,3732.00
9/23/2024,3751.00
9/20/2024,3741.00
9/19/2024,3719.00
9/18/2024,3713.00
9/17/2024,3648.00
9/16/2024,3618.00
9/13/2024,3657.00
9/12/2024,3.68
9/11/2024,3661.00
9/10/2024,3.64
9/9/2024,3702.00
9/6/2024,3716.00
9/5/2024,3725.00
9/4/2024,3757.00
9/3/2024,3831.00
9/2/2024,3926.00
9/1/2024,3907.00
8/30/2024,3909.00
8/29/2024,3863.00
8/28/2024,3839.00
8/27/2024,3829.00
8/26/2024,3.82
8/23/2024,3795.00
8/22/2024,3858.00
8/21/2024,3799.00
8/20/2024,3.81
8/19/2024,3875.00
8/16/2024,3883.00
8/15/2024,3919.00
8/14/2024,3839.00
8/13/2024,3846.00
8/12/2024,3907.00
8/9/2024,3.94
8/8/2024,3.99
8/7/2024,3953.00
8/6/2024,3901.00
8/5/2024,3779.00
8/2/2024,3792.00
8/1/2024,3982.00
7/31/2024,4033.00
7/30/2024,4141.00
7/29/2024,4172.00
7/26/2024,4194.00
7/25/2024,4245.00
7/24/2024,4286.00
7/23/2024,4254.00
7/22/2024,4254.00
7/19/2024,4243.00
7/18/2024,4202.00
7/17/2024,4.16
7/16/2024,4.16
7/15/2024,4231.00
7/12/2024,4187.00
7/11/2024,4212.00
7/10/2024,4282.00
7/9/2024,4298.00
7/8/2024,4.28
7/5/2024,4278.00
7/4/2024,4372.00
7/3/2024,4355.00
7/2/2024,4438.00
7/1/2024,4471.00
6/28/2024,4392.00
6/27/2024,4286.00
6/26/2024,4329.00
6/25/2024,4248.00
6/24/2024,4234.00
6/21/2024,4257.00
6/20/2024,4261.00
6/19/2024,4236.00
6/18/2024,4219.00
6/17/2024,4285.00
6/14/2024,4221.00
6/13/2024,4248.00
6/12/2024,4318.00
6/11/2024,4402.00
6/10/2024,4471.00
6/7/2024,4433.00
6/6/2024,4287.00
6/5/2024,4277.00
6/4/2024,4.33
6/3/2024,4392.00
5/31/2024,4503.00
5/30/2024,4.55
5/29/2024,4616.00
5/28/2024,4548.00
5/27/2024,4461.00
5/24/2024,4467.00
5/23/2024,4479.00
5/22/2024,4426.00
5/21/2024,4412.00
5/20/2024,4447.00
5/17/2024,4422.00
5/16/2024,4377.00
5/15/2024,4344.00
5/14/2024,4445.00
5/13/2024,4.49
5/10/2024,4.50
5/9/2024,4459.00
5/8/2024,4.50
5/7/2024,4461.00
5/6/2024,4487.00
5/3/2024,4497.00
5/2/2024,4589.00
5/1/2024,4641.00
4/30/2024,4682.00
4/29/2024,4611.00
4/26/2024,4663.00
4/25/2024,4704.00
4/24/2024,4648.00
4/23/2024,4607.00
4/22/2024,4.61
4/19/2024,4623.00
4/18/2024,4637.00
4/17/2024,4589.00
4/16/2024,4669.00
4/15/2024,4.61
4/12/2024,4517.00
4/11/2024,4584.00
4/10/2024,4546.00
4/9/2024,4362.00
4/8/2024,4422.00
4/5/2024,4.40
4/4/2024,4307.00
4/3/2024,4351.00
4/2/2024,4353.00
4/1/2024,4317.00
3/29/2024,4.21
3/28/2024,4206.00
3/27/2024,4188.00
3/26/2024,4238.00
3/25/2024,4249.00
3/22/2024,4202.00
3/21/2024,4269.00
3/20/2024,4277.00
3/19/2024,4293.00
3/18/2024,4328.00
3/15/2024,4308.00
3/14/2024,4292.00
3/13/2024,4188.00
3/12/2024,4151.00
3/11/2024,4098.00
3/8/2024,4077.00
3/7/2024,4089.00
3/6/2024,4108.00
3/5/2024,4151.00
3/4/2024,4217.00
3/1/2024,4186.00
2/29/2024,4254.00
2/28/2024,4266.00
2/27/2024,4303.00
2/26/2024,4281.00
2/23/2024,4248.00
2/22/2024,4331.00
2/21/2024,4319.00
2/20/2024,4275.00
2/19/2024,4317.00
2/18/2024,4296.00
2/16/2024,4281.00
2/15/2024,4234.00
2/14/2024,4261.00
2/13/2024,4326.00
2/12/2024,4179.00
2/9/2024,4177.00
2/8/2024,4158.00
2/7/2024,4115.00
2/6/2024,4.09
2/5/2024,4162.00
2/2/2024,4024.00
2/1/2024,3882.00
1/31/2024,3918.00
1/30/2024,4036.00
1/29/2024,4076.00
1/26/2024,4139.00
1/25/2024,4.12
1/24/2024,4.18
1/23/2024,4132.00
1/22/2024,4107.00
1/19/2024,4.13
1/18/2024,4142.00
1/17/2024,4106.00
1/16/2024,4054.00
1/15/2024,3986.00
1/14/2024,3968.00
1/12/2024,3939.00
1/11/2024,3975.00
1/10/2024,4.03
1/9/2024,4015.00
1/8/2024,4027.00
1/5/2024,4051.00
1/4/2024,4003.00
1/3/2024,3.92
1/2/2024,3941.00
1/1/2024,3898.00
12/29/2023,3866.00
12/28/2023,3846.00
12/27/2023,3789.00
12/26/2023,3897.00
12/25/2023,3902.00
12/22/2023,3901.00
12/21/2023,3892.00
12/20/2023,3853.00
12/19/2023,3931.00
12/18/2023,3935.00
12/15/2023,3915.00
12/14/2023,3921.00
12/13/2023,4024.00
12/12/2023,4.21
12/11/2023,4237.00
12/8/2023,4229.00
12/7/2023,4148.00
12/6/2023,4114.00
12/5/2023,4167.00
12/4/2023,4259.00
12/1/2023,4209.00
11/30/2023,4.33
11/29/2023,4259.00
11/28/2023,4325.00
11/27/2023,4.39
11/24/2023,4472.00
11/23/2023,4453.00
11/22/2023,4408.00
11/21/2023,4398.00
11/20/2023,4426.00
11/17/2023,4439.00
11/16/2023,4441.00
11/15/2023,4537.00
11/14/2023,4453.00
11/13/2023,4638.00
11/10/2023,4646.00
11/9/2023,4632.00
11/8/2023,4492.00
11/7/2023,4569.00
11/6/2023,4647.00
11/3/2023,4576.00
11/2/2023,4661.00
11/1/2023,4734.00
10/31/2023,4926.00
10/30/2023,4888.00
10/27/2023,4845.00
10/26/2023,4849.00
10/25/2023,4961.00
10/24/2023,4819.00
10/23/2023,4848.00
10/20/2023,4914.00
10/19/2023,4.99
10/18/2023,4911.00
10/17/2023,4836.00
10/16/2023,4.70
10/13/2023,4616.00
10/12/2023,4697.00
10/11/2023,4558.00
10/10/2023,4657.00
10/9/2023,4628.00
10/8/2023,4725.00
10/6/2023,4795.00
10/5/2023,4721.00
10/4/2023,4735.00
10/3/2023,4795.00
10/2/2023,4685.00
9/29/2023,4579.00
9/28/2023,4579.00
9/27/2023,4608.00
9/26/2023,4.55
9/25/2023,4531.00
9/22/2023,4438.00
9/21/2023,4494.00
9/20/2023,4399.00
9/19/2023,4365.00
9/18/2023,4303.00
9/15/2023,4336.00
9/14/2023,4286.00
9/13/2023,4254.00
9/12/2023,4.28
9/11/2023,4294.00
9/8/2023,4.26
9/7/2023,4.25
9/6/2023,4296.00
9/5/2023,4266.00
9/4/2023,4206.00
9/3/2023,4187.00
9/1/2023,4181.00
8/31/2023,4106.00
8/30/2023,4112.00
8/29/2023,4.12
8/28/2023,4206.00
8/25/2023,4231.00
8/24/2023,4241.00
8/23/2023,4196.00
8/22/2023,4332.00
8/21/2023,4342.00
8/18/2023,4251.00
8/17/2023,4284.00
8/16/2023,4258.00
8/15/2023,4219.00
8/14/2023,4201.00
8/11/2023,4158.00
8/10/2023,4107.00
8/9/2023,4016.00
8/8/2023,4028.00
8/7/2023,4097.00
8/4/2023,4042.00
8/3/2023,4179.00
8/2/2023,4.09
8/1/2023,4037.00
7/31/2023,3967.00
7/28/2023,3957.00
7/27/2023,4002.00
7/26/2023,3873.00
7/25/2023,3.89
7/24/2023,3878.00
7/21/2023,3837.00
7/20/2023,3856.00
7/19/2023,3748.00
7/18/2023,3789.00
7/17/2023,3809.00
7/14/2023,3.83
7/13/2023,3767.00
7/12/2023,3861.00
7/11/2023,3978.00
7/10/2023,4.00
7/7/2023,4066.00
7/6/2023,4031.00
7/5/2023,3934.00
7/4/2023,3839.00
7/3/2023,3858.00
6/30/2023,3841.00
6/29/2023,3842.00
6/28/2023,3714.00
6/27/2023,3772.00
6/26/2023,3723.00
6/23/2023,3737.00
6/22/2023,3797.00
6/21/2023,3727.00
6/20/2023,3719.00
6/19/2023,3822.00
6/16/2023,3767.00
6/15/2023,3.72
6/14/2023,3.79
6/13/2023,3827.00
6/12/2023,3743.00
6/9/2023,3743.00
6/8/2023,3718.00
6/7/2023,3793.00
6/6/2023,3677.00
6/5/2023,3689.00
6/2/2023,3698.00
6/1/2023,3601.00
5/31/2023,3646.00
5/30/2023,3694.00
5/29/2023,3764.00
5/28/2023,3819.00
5/26/2023,3.81
5/25/2023,3823.00
5/24/2023,3744.00
5/23/2023,3698.00
5/22/2023,3719.00
5/19/2023,3682.00
5/18/2023,3651.00
5/17/2023,3572.00
5/16/2023,3541.00
5/15/2023,3507.00
5/12/2023,3463.00
5/11/2023,3386.00
5/10/2023,3439.00
5/9/2023,3522.00
5/8/2023,3507.00
5/5/2023,3435.00
5/4/2023,3377.00
5/3/2023,3364.00
5/2/2023,3433.00
5/1/2023,3.57
4/28/2023,3433.00
4/27/2023,3528.00
4/26/2023,3445.00
4/25/2023,3.40
4/24/2023,3496.00
4/21/2023,3568.00
4/20/2023,3536.00
4/19/2023,3591.00
4/18/2023,3578.00
4/17/2023,3606.00
4/14/2023,3515.00
4/13/2023,3449.00
4/12/2023,3.40
4/11/2023,3432.00
4/10/2023,3415.00
4/7/2023,3413.00
4/6/2023,3303.00
4/5/2023,3309.00
4/4/2023,3339.00
4/3/2023,3415.00
3/31/2023,3473.00
3/30/2023,3547.00
3/29/2023,3566.00
3/28/2023,3572.00
3/27/2023,3539.00
3/24/2023,3372.00
3/23/2023,3414.00
3/22/2023,3451.00
3/21/2023,3608.00
3/20/2023,3483.00
3/17/2023,3438.00
3/16/2023,3579.00
3/15/2023,3462.00
3/14/2023,3685.00
3/13/2023,3545.00
3/10/2023,3704.00
3/9/2023,3907.00
3/8/2023,3989.00
3/7/2023,3.97
3/6/2023,3964.00
3/3/2023,3958.00
3/2/2023,4062.00
3/1/2023,3994.00
2/28/2023,3928.00
2/27/2023,3922.00
2/24/2023,3947.00
2/23/2023,3.89
2/22/2023,3927.00
2/21/2023,3954.00
2/20/2023,3851.00
2/17/2023,3817.00
2/16/2023,3863.00
2/15/2023,3803.00
2/14/2023,3753.00
2/13/2023,3704.00
2/10/2023,3743.00
2/9/2023,3664.00
2/8/2023,3615.00
2/7/2023,3679.00
2/6/2023,3644.00
2/3/2023,3519.00
2/2/2023,3402.00
2/1/2023,3417.00
1/31/2023,3.51
1/30/2023,3542.00
1/27/2023,3507.00
1/26/2023,3506.00
1/25/2023,3451.00
1/24/2023,3455.00
1/23/2023,3521.00
1/20/2023,3482.00
1/19/2023,3399.00
1/18/2023,3373.00
1/17/2023,3549.00
1/16/2023,3529.00
1/13/2023,3498.00
1/12/2023,3444.00
1/11/2023,3543.00
1/10/2023,3615.00
1/9/2023,3527.00
1/6/2023,3.56
1/5/2023,3722.00
1/4/2023,3.69
1/3/2023,3752.00
1/2/2023,3879.00
12/30/2022,3879.00
12/29/2022,3.82
12/28/2022,3886.00
12/27/2022,3849.00
12/26/2022,3743.00
12/23/2022,3751.00
12/22/2022,3686.00
12/21/2022,3673.00
12/20/2022,3692.00
12/19/2022,3.59
12/16/2022,3488.00
12/15/2022,3.45
12/14/2022,3479.00
12/13/2022,3501.00
12/12/2022,3617.00
12/9/2022,3586.00
12/8/2022,3489.00
12/7/2022,3421.00
12/6/2022,3531.00
12/5/2022,3583.00
12/2/2022,3492.00
12/1/2022,3.51
11/30/2022,3611.00
11/29/2022,3.75
11/28/2022,3679.00
11/25/2022,3691.00
11/24/2022,3661.00
11/23/2022,3689.00
11/22/2022,3758.00
11/21/2022,3.84
11/18/2022,3829.00
11/17/2022,3769.00
11/16/2022,3.69
11/15/2022,3777.00
11/14/2022,3863.00
11/10/2022,3811.00
11/9/2022,4099.00
11/8/2022,4128.00
11/7/2022,4218.00
11/4/2022,4163.00
11/3/2022,4149.00
11/2/2022,4096.00
11/1/2022,4048.00
10/31/2022,4.05
10/28/2022,4.01
10/27/2022,3927.00
10/26/2022,4007.00
10/25/2022,4.10
10/24/2022,4247.00
10/21/2022,4219.00
10/20/2022,4233.00
10/19/2022,4138.00
10/18/2022,4007.00
10/17/2022,4012.00
10/14/2022,4023.00
10/13/2022,3.95
10/12/2022,3902.00
10/11/2022,3945.00
10/10/2022,3955.00
10/7/2022,3888.00
10/6/2022,3828.00
10/5/2022,3755.00
10/4/2022,3635.00
10/3/2022,3643.00
9/30/2022,3829.00
9/29/2022,3782.00
9/28/2022,3737.00
9/27/2022,3949.00
9/26/2022,3928.00
9/23/2022,3687.00
9/22/2022,3.71
9/21/2022,3534.00
9/20/2022,3569.00
9/19/2022,3494.00
9/16/2022,3455.00
9/15/2022,3449.00
9/14/2022,3404.00
9/13/2022,3412.00
9/12/2022,3358.00
9/9/2022,3315.00
9/8/2022,3323.00
9/7/2022,3267.00
9/6/2022,3351.00
9/5/2022,3223.00
9/2/2022,3195.00
9/1/2022,3259.00
8/31/2022,3196.00
8/30/2022,3112.00
8/29/2022,3114.00
8/26/2022,3.03
8/25/2022,3031.00
8/24/2022,3109.00
8/23/2022,3057.00
8/22/2022,3024.00
8/19/2022,2976.00
8/18/2022,2886.00
8/17/2022,2902.00
8/16/2022,2808.00
8/15/2022,2793.00
8/12/2022,2842.00
8/11/2022,2889.00
8/10/2022,2785.00
8/9/2022,2779.00
8/8/2022,2.75
8/5/2022,2827.00
8/4/2022,2694.00
8/3/2022,2706.00
8/2/2022,2748.00
8/1/2022,2588.00
7/29/2022,2658.00
7/28/2022,2671.00
7/27/2022,2785.00
7/26/2022,2803.00
7/25/2022,2807.00
7/22/2022,2754.00
7/21/2022,2882.00
7/20/2022,3.03
7/19/2022,3028.00
7/18/2022,2989.00
7/15/2022,2928.00
7/14/2022,2958.00
7/13/2022,2935.00
7/12/2022,2971.00
7/11/2022,2993.00
7/8/2022,3.08
7/7/2022,3.00
7/6/2022,2934.00
7/5/2022,2818.00
7/4/2022,2932.00
7/1/2022,2889.00
6/30/2022,3017.00
6/29/2022,3087.00
6/28/2022,3177.00
6/27/2022,3202.00
6/24/2022,3138.00
6/23/2022,3089.00
6/22/2022,3.16
6/21/2022,3279.00
6/20/2022,3277.00
6/17/2022,3231.00
6/16/2022,3195.00
6/15/2022,3292.00
6/14/2022,3479.00
6/13/2022,3362.00
6/10/2022,3165.00
6/9/2022,3046.00
6/8/2022,3027.00
6/7/2022,2979.00
6/6/2022,3.04
6/3/2022,2941.00
6/2/2022,2913.00
6/1/2022,2911.00
5/31/2022,2849.00
5/30/2022,2812.00
5/27/2022,2743.00
5/26/2022,2742.00
5/25/2022,2751.00
5/24/2022,2754.00
5/23/2022,2861.00
5/20/2022,2788.00
5/19/2022,2837.00
5/18/2022,2884.00
5/17/2022,2995.00
5/16/2022,2886.00
5/13/2022,2928.00
5/12/2022,2855.00
5/11/2022,2925.00
5/10/2022,2989.00
5/9/2022,3034.00
5/6/2022,3142.00
5/5/2022,3035.00
5/4/2022,2946.00
5/3/2022,2979.00
5/2/2022,2977.00
4/29/2022,2938.00
4/28/2022,2832.00
4/27/2022,2826.00
4/26/2022,2728.00
4/25/2022,2818.00
4/22/2022,2905.00
4/21/2022,2908.00
4/20/2022,2834.00
4/19/2022,2.94
4/18/2022,2857.00
4/14/2022,2828.00
4/13/2022,2703.00
4/12/2022,2727.00
4/11/2022,2774.00
4/8/2022,2704.00
4/7/2022,2665.00
4/6/2022,2598.00
4/5/2022,2554.00
4/4/2022,2393.00
4/1/2022,2389.00
3/31/2022,2345.00
3/30/2022,2358.00
3/29/2022,2398.00
3/28/2022,2466.00
3/25/2022,2488.00
3/24/2022,2.37
3/23/2022,2.29
3/22/2022,2381.00
3/21/2022,2297.00
3/18/2022,2153.00
3/17/2022,2167.00
3/16/2022,2192.00
3/15/2022,2149.00
3/14/2022,2142.00
3/11/2022,1997.00
3/10/2022,1993.00
3/9/2022,1951.00
3/8/2022,1.84
3/7/2022,1777.00
3/4/2022,1737.00
3/3/2022,1.84
3/2/2022,1878.00
3/1/2022,1716.00
2/28/2022,1822.00
2/25/2022,1.97
2/24/2022,1.97
2/23/2022,1998.00
2/22/2022,1944.00
2/21/2022,1873.00
2/18/2022,1927.00
2/17/2022,1968.00
2/16/2022,2.04
2/15/2022,2043.00
2/14/2022,1986.00
2/11/2022,1918.00
2/10/2022,2043.00
2/9/2022,1945.00
2/8/2022,1965.00
2/7/2022,1919.00
2/4/2022,1916.00
2/3/2022,1836.00
2/2/2022,1771.00
2/1/2022,1795.00
1/31/2022,1784.00
1/28/2022,1778.00
1/27/2022,1803.00
1/26/2022,1873.00
1/25/2022,1776.00
1/24/2022,1776.00
1/21/2022,1.77
1/20/2022,1811.00
1/19/2022,1854.00
1/18/2022,1875.00
1/17/2022,1809.00
1/14/2022,1793.00
1/13/2022,1701.00
1/12/2022,1752.00
1/11/2022,1746.00
1/10/2022,1755.00
1/7/2022,1765.00
1/6/2022,1728.00
1/5/2022,1.70
1/4/2022,1649.00
1/3/2022,1637.00
12/31/2021,1512.00
12/30/2021,1507.00
12/29/2021,1556.00
12/28/2021,1484.00
12/27/2021,1477.00
12/23/2021,1493.00
12/22/2021,1453.00
12/21/2021,1467.00
12/20/2021,1428.00
12/17/2021,1407.00
12/16/2021,1424.00
12/15/2021,1458.00
12/14/2021,1441.00
12/13/2021,1414.00
12/10/2021,1482.00
12/9/2021,1497.00
12/8/2021,1528.00
12/7/2021,1482.00
12/6/2021,1433.00
12/3/2021,1356.00
12/2/2021,1444.00
12/1/2021,1404.00
11/30/2021,1456.00
11/29/2021,1502.00
11/26/2021,1482.00
11/25/2021,1596.00
11/24/2021,1643.00
11/23/2021,1676.00
11/22/2021,1632.00
11/19/2021,1548.00
11/18/2021,1587.00
11/17/2021,1585.00
11/16/2021,1.64
11/15/2021,1618.00
11/12/2021,1.57
11/11/2021,1578.00
11/10/2021,1.57
11/9/2021,1439.00
11/8/2021,1493.00
11/5/2021,1455.00
11/4/2021,1.53
11/3/2021,1603.00
11/2/2021,1547.00
11/1/2021,1561.00
10/29/2021,1561.00
10/28/2021,1578.00
10/27/2021,1.55
10/26/2021,1.61
10/25/2021,1633.00
10/22/2021,1638.00
10/21/2021,1696.00
10/20/2021,1.66
10/19/2021,1641.00
10/18/2021,1591.00
10/15/2021,1574.00
10/14/2021,1516.00
10/13/2021,1542.00
10/12/2021,1572.00
10/11/2021,1628.00
10/8/2021,1612.00
10/7/2021,1576.00
10/6/2021,1528.00
10/5/2021,1528.00
10/4/2021,1481.00
10/1/2021,1465.00
9/30/2021,1492.00
9/29/2021,1524.00
9/28/2021,1546.00
9/27/2021,1491.00
9/24/2021,1453.00
9/23/2021,1435.00
9/22/2021,1304.00
9/21/2021,1328.00
9/20/2021,1312.00
9/17/2021,1363.00
9/16/2021,1336.00
9/15/2021,1304.00
9/14/2021,1284.00
9/13/2021,1326.00
9/10/2021,1343.00
9/9/2021,1297.00
9/8/2021,1336.00
9/7/2021,1377.00
9/6/2021,1336.00
9/3/2021,1326.00
9/2/2021,1285.00
9/1/2021,1299.00
8/31/2021,1307.00
8/30/2021,1.28
8/27/2021,1.31
8/26/2021,1354.00
8/25/2021,1349.00
8/24/2021,1297.00
8/23/2021,1253.00
8/20/2021,1255.00
8/19/2021,1243.00
8/18/2021,1.26
8/17/2021,1267.00
8/16/2021,1268.00
8/13/2021,1283.00
8/12/2021,1361.00
8/11/2021,1335.00
8/10/2021,1354.00
8/9/2021,1325.00
8/6/2021,1305.00
8/5/2021,1225.00
8/4/2021,1.18
8/3/2021,1174.00
8/2/2021,1179.00
7/30/2021,1226.00
7/29/2021,1266.00
7/28/2021,1238.00
7/27/2021,1239.00
7/26/2021,1295.00
7/23/2021,1281.00
7/22/2021,1277.00
7/21/2021,1292.00
7/20/2021,1222.00
7/19/2021,1199.00
7/16/2021,1.30
7/15/2021,1301.00
7/14/2021,1349.00
7/13/2021,1418.00
7/12/2021,1368.00
7/9/2021,1361.00
7/8/2021,1294.00
7/7/2021,1323.00
